,publisher
Times of India,19669
The Hindu,5296
Economic Times,3476
Livemint,2652
India Today,2149
Daily News &amp; Analysis,2141
Rediff,1818
Firstpost,1722
NDTV,1507
The Indian Express,1360
The New Indian Express,1194
Hindu Business Line,1148
Deccan Herald,1112
Moneycontrol.com,931
Business Standard,775
Indian Express,720
Hindustan Times,699
TopNews,679
NDTV.com,596
India.com,570
Bollywood Life,560
Reuters India,504
Financial Express,499
News18,498
Scroll.in,477
BloombergQuint,449
Deccan Chronicle,427
Free Press Journal,390
The Asian Age,368
Cricket Country,341
ESPNcricinfo.com,340
VC Circle,308
Times Now,302
The Hans India,302
India PRwire,301
Wall Street Journal,293
GlamSham,274
indiatvnews.com,264
Super Good Movies,261
Daily Excelsior,259
IndiaGlitz,259
Indian Cars Bikes,259
"International Business Times, India Edition",234
TwoCircles.net,217
nyoooz.com,206
E-Pao.net,203
MediaNama.com,203
nenow.in,203
CounterCurrents.org,200
Washington Bangla Radio,196
digit.in,191
The Quint,188
Bollywood Mantra,187
republicworld.com,182
Daily Pioneer,176
Orissadiary.com,176
thehansindia.com,175
cogencis.com,168
Outlook India,167
livemint.com,162
Indian Autos Blog,160
timesnownews.com,156
NDTVSports.com,156
dailypioneer.com,156
ahmedabadmirror.indiatimes.com,153
ibtimes.co.in,151
The Wire,151
businesswireindia.com,151
News Nation,150
Greater Kashmir,149
Sify,149
scroll.in,148
thestatesman.com,147
cnbctv18.com,146
freepressjournal.in,144
telanganatoday.com,142
NYOOOZ,142
Fibre2fashion.com,141
mydigitalfc.com,140
theweek.in,140
thewire.in,140
aninews.in,139
afaqs.com,139
bgr.in,138
BoldSky,138
cartoq.com,137
Oneindia,137
GSMArena.com,136
United News of India,134
indiatoday.in,131
Siliconindia.com,128
punemirror.indiatimes.com,126
afaqs,122
businesstoday.in,121
ANI News,121
Live Law,115
mumbaimirror.indiatimes.com,115
deccanchronicle.com,113
downtoearth.org.in,113
mid-day.com,112
Business Today,111
bangaloremirror.indiatimes.com,111
Forbes India,111
livelaw.in,109
THE WEEK,109
Web India 123,108
Reuters,107
telegraphindia.com,107
huffingtonpost.in,107
Mathrubhumi,107
Telegraph India,106
siasat.com,106
thebetterindia.com,103
thehindubusinessline.com,103
dailyexcelsior.com,102
oneindia.com,101
theprint.in,101
asianage.com,101
Press Trust of India,100
Mumbai Mirror,98
economictimes.indiatimes.com,98
news18.com,97
Zigwheels.com,97
The Echo of India,95
zeebiz.com,93
India TV,93
mysmartprice.com,93
Jagran Post,93
PINKVILLA,93
Mid-Day,90
Calcutta Telegraph,88
kashmirtimes.com,88
newsclick.in,88
DailyO,88
Sportskeeda,86
Gulte,84
Indiatimes.com,84
Game Guru,83
Businessinsider India,83
firstpost.com,83
uniindia.com,83
business-standard.com,83
newindianexpress.com,81
BGR India,81
dailyo.in,80
Cricbuzz,80
businessinsider.in,78
The Hindu BusinessLine,77
moneylife.in,77
in.news.yahoo.com,77
peoplematters.in,77
newsnation.in,77
YourStory.com,76
exchange4media.com,75
financialexpress.com,73
devdiscourse.com,73
outlookindia.com,72
CNBCTV18,72
Devdiscourse,71
analyticsindiamag.com,70
indianexpress.com,70
koimoi,69
Telangana Today,69
Star of Mysore,69
Pune Mirror,69
IBNLive,68
Morung Express,68
risingkashmir.com,66
State Times,64
Merinews,64
Millennium Post,64
timesofindia.indiatimes.com,63
moneycontrol.com,63
navhindtimes.in,62
Jagran Josh,62
thenorthlines.com,61
BW Businessworld,59
thequint.com,58
news.statetimes.in,58
MensXP.com,57
India Times,57
indiablooms,57
Bangalore Mirror,57
Assam Tribune,56
thecitizen.in,56
bloombergquint.com,55
Indiainfoline,55
The Telegraph,55
Nagpur Today,54
Speaking Times,52
The Arunachal Times,51
The Sangai Express,51
The Siasat Daily,50
Sify News,49
Times of India (blog),49
Ahmedabad Mirror,49
The Statesman,49
The Shillong Times,47
thesangaiexpress.com,47
Cogencis,46
The Navhind Times,46
Huffington Post India,45
indiatimes.com,45
Avenue Mail,44
Goal.com,44
orfonline.org,42
Equity Bulls,41
ABP Live,41
in.ign.com,40
Asian Correspondent,40
fortuneindia.com,40
onmanorama,39
Odisha Television Ltd.,39
The Telegraph India,37
Oherald,37
NewsClick,37
Times of Indi,36
From Software,34
Northeast Now,33
Digit,32
Eastern Mirror,32
DirectionsMag.com,31
saipantribune.com,30
Zee Business,30
http://www.newsgram.com/,29
Business Insider India,29
The Hitavada,29
The Better India,28
ETAuto.com,28
All India Radio,27
inUth.com,27
Kashmir Images,26
morungexpress.com,25
WION,24
Newsx,23
Kasmir Monitor,23
ETTelecom.com,23
ETBrandEquity.com,23
millenniumpost.in,22
Doordarshan,21
Nagaland Post,21
openpr.com,21
New Kerala,20
The News Minute,20
ETtech.com,20
NewsX,19
in.reuters.com,19
ESPN,18
Defence Aviation Post,18
ETEnergyworld.com,18
SportsCafe,16
Republic World,15
The Northlines,15
Kashmir Life,15
Yahoo News,14
Gizbot,14
Kashmir Reader,13
HITC,12
espn.in,10
Investing.com,9
wallpaper.com,7
IGN India,7
Goal India,5
goal.com,5
sportscafe,4
Odisha Television Ltd,2
ABP LIVE,2
afaqs!,2
