		India	Iran	Nigeria	Kenya	Congo	Zimbabwe	Sri Lanka	Uganda	Afghanistan	Guinea
tranquility	1	543	46	56	7	14	7	15	6	2	0
yogurt	2	742	13	9	8	2	1	63	12	0	0
airplane	3	1954	72	68	5	12	1	15	9	3	0
esthetic	4	1668	12	46	9	5	2	20	14	0	0
aging	5	858	23	31	3	6	2	3	2	0	0
aluminum	6	10062	233	52	20	10	5	164	3	0	0
amortization	7	13094	0	340	26	0	3	1027	0	0	0
amortize	8	591	0	81	1	0	4	250	0	0	0
anemia	9	926	9	54	12	5	1	52	10	0	0
analog	10	2866	6	33	6	8	6	0	4	0	0
analyze	11	14045	140	209	59	60	27	122	30	2	0
annex	12	1626	97	42	11	9	2	11	8	1	0
apologize	13	2480	63	358	61	50	19	40	59	10	0
archeological	14	709	72	14	1	7	5	51	0	2	0
armor	15	675	21	13	2	2	3	6	3	3	0
armored	16	667	132	48	11	16	6	39	14	8	0
artifact	17	1403	44	38	7	29	7	18	2	5	0
authorization	18	4056	67	78	21	23	11	17	21	0	0
authorize	19	9607	149	210	61	62	39	67	48	12	0
authorized	20	2458	20	49	23	17	9	38	0	0	0
ax	21	786	18	48	19	20	22	20	7	3	0
behavior	22	11735	511	532	146	143	151	229	124	14	0
behavioral	23	2816	20	56	9	9	5	17	11	0	0
caliber	24	886	20	100	10	13	7	34	10	2	0
cancelation	25	3675	47	154	40	23	25	57	15	2	1
capitalize	26	2162	20	81	35	33	25	64	14	1	0
carcass	27	890	3	20	8	3	10	8	1	1	0
catalog	28	1433	24	32	7	2	8	28	6	0	0
categorize	29	2539	16	50	19	9	5	71	12	2	0
centralized	30	1829	13	38	22	7	8	10	3	0	0
center	31	76970	1444	3730	788	751	479	1294	641	234	0
characterization	32	1079	14	17	3	2	0	2	2	1	0
characterize	33	5772	60	213	46	67	66	27	33	2	0
chili	34	1471	0	7	17	11	3	25	5	0	0
civilization	35	869	105	106	8	27	5	43	5	6	0
color	36	25222	175	375	116	69	67	213	144	5	0
colored	37	1284	4	12	9	7	7	11	5	0	0
colorful	38	1695	58	69	32	19	14	52	26	1	0
conceptualize	39	1135	0	33	5	3	1	33	2	0	0
connection	40	35077	322	534	142	114	57	432	122	32	0
councilor	41	2202	7	137	16	60	143	44	95	0	0
counseling	42	3494	22	123	51	33	22	40	43	1	0
counselor	43	1319	9	52	31	20	6	26	26	3	0
criticize	44	4920	584	395	130	87	45	143	69	69	0
customize	45	4929	5	46	9	5	2	65	7	0	0
defense	46	27919	1426	1311	256	257	133	382	185	130	1
dispatch	47	3434	263	151	54	40	23	44	19	14	0
destabilize	48	453	116	103	12	18	12	28	11	14	0
dialog	49	7834	523	623	108	280	106	842	79	64	0
diarrhea	50	804	8	58	18	16	12	8	12	1	0
digitize	51	1080	2	24	14	3	1	16	0	0	0
disk	52	20064	1362	429	236	10	5	387	19	0	0
draft	53	11567	336	316	136	166	47	278	69	44	1
emphasize	54	7927	831	816	57	199	57	317	80	71	0
endeavor	55	3270	71	325	27	82	39	133	19	1	0
energize	56	810	5	74	5	7	1	19	8	2	0
enroll	57	4616	21	209	60	36	25	85	73	10	0
epicenter	58	759	32	66	18	9	10	12	8	1	0
favor	59	11548	359	919	200	189	120	191	122	19	1
favorable	60	32965	85	795	81	35	33	1396	20	3	0
favorably	61	26594	6	523	32	9	2	937	5	0	0
favorite	62	8511	72	264	194	61	65	160	80	8	0
fertilizer	63	11055	71	440	114	85	57	238	51	11	0
fiber	64	18264	204	121	78	16	11	79	39	8	0
finalize	65	6242	220	93	42	88	53	84	25	26	0
flavor	66	5220	43	49	38	5	17	120	17	0	0
fetal	67	979	4	14	5	3	3	4	0	0	0
fetus	68	601	8	27	11	2	21	15	4	0	0
fulfill	69	8025	319	654	72	136	69	291	87	20	0
fulfillment	70	1620	30	171	13	29	15	25	17	5	0
galvanize	71	846	214	90	7	17	7	6	2	1	0
gage	72	3322	14	130	61	17	10	18	12	0	0
globalization	73	918	31	48	13	19	2	46	6	0	0
gram	74	4230	100	26	15	5	6	80	8	9	0
gray	75	2990	83	68	17	14	8	16	19	0	0
