		Australia	New Zealand	Sweden	Austria	Belgium	Denmark	Norway	Finland	Netherlands	Czech Republic
yogurt	1	1733	382	4	13	16	1	1	4	2	3
airplane	2	1830	191	133	8	60	8	0	6	23	5
esthetic	3	2792	243	12	0	65	11	0	9	37	3
aging	4	1468	125	2	0	112	2	0	5	8	6
aluminum	5	10047	503	369	178	331	55	249	17	246	16
amortization	6	11624	817	4727	539	652	1456	2993	1343	1276	41
amortize	7	701	9	35	50	37	137	85	52	29	2
analog	8	4262	50	89	5	202	137	79	5	60	1
analyze	9	13068	667	346	18	1010	199	54	121	277	47
annex	10	625	68	1	3	1434	16	14	3	47	11
apologize	11	4890	1436	27	0	168	8	3	2	22	44
armor	12	1356	118	31	0	18	1	27	8	9	2
artifact	13	1554	164	8	0	114	3	0	1	27	10
authorization	14	3492	99	954	32	2233	1435	1145	872	219	10
authorize	15	7327	401	519	36	2020	789	319	670	89	10
authorized	16	1946	76	92	12	365	215	57	27	25	10
ax	17	88879	437	43	7	58	28	6	3	138	0
behavior	18	23534	3818	72	50	2791	100	28	74	299	98
behavioral	19	3805	206	34	4	192	5	0	7	53	1
caliber	20	2554	353	14	0	102	10	18	7	2	2
cancelation	21	3679	615	243	16	172	153	217	75	42	31
capitalize	22	5337	465	811	84	227	123	312	115	47	7
carcass	23	2287	159	0	0	83	2	0	4	16	1
catalog	24	4403	241	168	1	243	14	0	33	36	5
categorize	25	4364	139	621	60	189	99	151	175	60	2
centimeter	26	1820	288	5	0	21	1	0	0	7	6
centralized	27	1856	123	82	0	263	12	87	27	70	2
center	28	150483	12446	1939	148	8482	1237	775	1304	1247	842
centerpiece	29	1239	118	0	0	33	1	11	1	1	0
characterization	30	1256	60	15	3	41	10	5	2	24	0
characterize	31	4115	227	172	22	260	217	94	32	71	9
chili	32	3076	578	4	0	20	2	2	0	1	0
civilization	33	780	162	7	0	41	3	0	106	7	18
color	34	28268	4059	130	11	998	142	21	52	1127	53
colored	35	1641	317	8	0	134	4	0	1	15	2
colorful	36	3372	704	9	0	111	4	0	6	12	4
connection	37	36094	2975	2057	121	2560	3198	2420	663	688	248
cozy	38	1620	286	0	0	13	1	0	6	5	1
councilor	39	9109	3341	7	1	735	1	3	3	2	16
counseling	40	4941	597	33	22	176	5	7	11	2	2
counselor	41	2154	452	17	0	129	1	2	25	5	3
criticize	42	6787	1346	37	12	388	26	13	10	62	336
customize	43	7641	118	510	4	61	125	126	127	172	6
defense	44	37855	5165	479	49	2016	168	253	101	297	307
dispatch	45	3318	319	22	3	203	11	0	4	26	12
dialog	46	4395	442	197	20	1756	139	131	50	86	44
digitize	47	1312	35	53	1	41	45	14	8	17	2
disk	48	24876	889	15086	880	1259	2429	2660	2124	1207	132
draft	49	15831	1516	41	20	5869	51	16	82	97	327
emphasize	50	5956	579	81	26	798	68	29	65	84	31
endeavor	51	3807	407	43	10	249	48	43	26	59	4
energize	52	1169	101	7	0	38	4	35	0	3	0
enroll	53	5133	640	139	0	339	119	63	14	66	7
favor	54	14337	2569	194	15	1025	99	107	48	150	59
favorable	55	101252	1505	8242	925	2095	2197	2867	2925	1519	189
favorably	56	51623	1333	4159	473	1168	1796	1899	1829	1195	97
favorite	57	30056	4306	39	4	463	12	4	5	150	55
fertilizer	58	8153	661	19	2	293	73	242	63	84	7
fiber	59	19408	1119	706	279	679	524	83	734	328	10
finalize	60	7115	660	280	6	433	240	213	162	90	27
flavor	61	11526	1443	35	4	131	73	9	18	61	11
fulfill	62	6541	705	275	6	1009	158	168	161	101	115
fulfillment	63	2151	103	92	1	171	90	35	32	50	30
galvanize	64	952	100	2	0	48	5	0	0	7	0
gage	65	4228	387	16	1	129	6	0	1	23	6
glamor	66	920	164	3	0	4	0	0	0	5	0
globalization	67	1173	118	6	0	183	17	0	26	11	8
gram	68	2467	281	23	0	131	6	4	12	32	9
gray	69	4984	862	10	1	327	5	33	30	56	18
harbor	70	7366	1919	113	6	220	805	44	61	171	2
honor	71	52826	2956	134	12	1562	65	122	66	97	45
honorable	72	1659	101	6	0	101	1	1	2	2	4
honored	73	1391	84	11	0	66	5	6	0	3	0
hospitalization	74	1292	99	0	0	57	34	5	3	4	9
hospitalize	75	1631	262	5	2	30	8	18	5	38	43
humor	76	3011	733	3	1	62	2	0	4	13	2
immunization	77	1032	285	8	4	57	14	0	0	0	1
install	78	19661	2057	652	82	1339	452	412	174	325	110
installment	79	3185	222	346	36	148	186	245	610	15	20
instill	80	1078	147	0	0	46	1	0	7	9	2
jeopardize	81	1027	157	13	0	122	1	0	6	10	10
jewelry	82	7042	338	24	0	479	145	0	0	7	7
judgment	83	9042	1048	39	7	1698	66	11	9	72	5
kilogram	84	2992	488	9	3	63	5	19	6	3	29
