word,log_peace_value,log_nonpeace_value,real_peace_value,real_nonpeace_value,log_ratio,real_ratio
tender,-99.0,-7.306387068379713,0.0,0.0006712378127355356,13.54978857176185,0.0
partner,-8.17766664586017,-7.879905197771603,0.0002808565138648805,0.00037826891581899363,1.037787440408899,0.7424784382739866
think,-8.14928407521131,-7.551693568928272,0.00028894214644260293,0.00052521987741433,1.0791333097441675,0.5501355886701623
come,-8.838187658863868,-7.52664398655907,0.000145085452888674,0.0005385425834681352,1.1742534487677279,0.26940386395137966
benchmark,-6.46403521607457,-8.043183507559302,0.0015584941442313856,0.00032128450866364476,0.8036662610021783,4.850822564442362
accuse,-99.0,-7.6767594671451915,0.0,0.000463474371852956,12.89606642277875,0.0
year,-3.814871761883674,-4.638413770341022,0.022040540709847574,0.009673029110363747,0.8224518015785384,2.2785562266356867
fact,-99.0,-7.573267009885891,0.0,0.0005140104253740609,13.072297579204417,0.0
draw,-99.0,-7.888206465784475,0.0,0.00037514180163203425,12.550381437075448,0.0
group,-6.947568041597371,-6.637675902701439,0.0009609693516968724,0.0013100684349660796,1.0466868439252677,0.7335260708893836
reinveste,-7.051967261985474,-8.068789160676983,0.0008657042140275542,0.0003131622407453479,0.8739808565519394,2.7643952603197564
violence,-99.0,-7.685179291765735,0.0,0.00045958838156177846,12.881937589416202,0.0
chief,-7.095954909678626,-7.1029760018512675,0.0008284493068116052,0.0008226530596716677,0.9990115281016279,1.0070457978266694
nation,-99.0,-7.480994927871173,0.0,0.0005636962993247883,13.233533902177355,0.0
matter,-99.0,-7.543592651594176,0.0,0.0005294919205951538,13.12372029779186,0.0
concession,-99.0,-7.518794822868076,0.0,0.0005427863254853915,13.167003799451471,0.0
submit,-99.0,-7.970093021127423,0.0,0.0003456468319406324,12.42143595282603,0.0
datum,-7.148488354261176,-7.879575784062737,0.0007860514149428185,0.0003783935433113772,0.9072174124804712,2.0773383395075076
afghan,-99.0,-6.983902985002649,0.0,0.000926679320335474,14.175454643713447,0.0
kill,-99.0,-6.900999145102905,0.0,0.0010067790080363359,14.345748770343276,0.0
below,-7.405390300497044,-8.270139076642444,0.0006079667892117161,0.0002560496782511704,0.8954372147636874,2.374409502734601
suspect,-99.0,-7.919039075738262,0.0,0.00036375169643949385,12.501516794292446,0.0
currency,-6.863833793870532,-7.71064819739491,0.001044900311436334,0.0004480309704836155,0.890175977188211,2.332205539961765
trail,-6.883281121503416,-7.810093777581934,0.001024776107966628,0.0004056200079730102,0.8813314305215083,2.5264436857730557
stay,-8.900038843688774,-8.375723255232275,0.00013638362873589165,0.000230393174250035,1.0625994403682049,0.5919603702663554
new,-6.076119236679737,-5.6917332908966936,0.002297073777598533,0.003373740225367602,1.0675340754982015,0.6808685980996787
kenyan,-99.0,-8.374341865573932,0.0,0.00023071165692198684,11.821824519366583,0.0
diplomatic,-99.0,-8.372261085770562,0.0,0.0002311922168744457,11.82476262813396,0.0
journalist,-99.0,-8.361366933080452,0.0,0.00023372462938406704,11.840169291975675,0.0
decrease,-6.276666527946677,-7.380710155138412,0.0018796559429705903,0.0006231581898360164,0.8504149866360616,3.0163383449477252
more,-6.367128738293445,-5.974361139831812,0.0017170823471884668,0.002543126269977199,1.0657421922225294,0.6751856435362376
university,-99.0,-8.259441082234092,0.0,0.00025880360073621814,11.986283213878382,0.0
